id_venda,id_cliente,data_venda,categoria,valor_venda,quantidade,desconto,devolvido,pago,forma_pagamento,cidade_entrega,obs
54,425.0,2023-06-13 00:00:00,Móveis,1217.45,1.0,0.0,False,True,boleto,sao paulo,telefone inválido
1958,236.0,2022-03-25 00:00:00,Escritório,145.76,1.0,0.0,False,True,cartao,São Paulo,ok
4965,882.0,2025-02-12 00:00:00,Móveis,1224.2,1.0,0.0,False,True,pix,BH,Entrega atrasada
4194,1035.0,2025-08-20 00:00:00,Móveis,966.79,1.0,0.0,False,True,Cartão ,Brasília,
3656,701.0,2024-05-05 00:00:00,Eletrônicos,2593.51,4.0,0.0,False,True,cartao,manaus  ,
1585,1412.0,2025-10-26 00:00:00,Escritório,120.98,1.0,0.0,False,True,dinheiro,SÃOPAULO,cliente reclamou
1699,141.0,2023-07-19 00:00:00,,60.52,1.0,0.0,False,True,dinheiro,bh,
1979,1060.0,2023-09-25 00:00:00,Escritório,142.85,1.0,0.0,False,True,Cartão ,brasília,Entrega atrasada
5030,601.0,2024-06-19 00:00:00,Eletrônicos,610.18,1.0,0.15,False,True,boleto,FORTALEZA,Entrega atrasada
6492,163.0,2022-06-17 00:00:00,Acessórios,38.47,1.0,0.0,False,True,cartao,ZONA SUL,telefone inválido
1879,1263.0,2022-07-02 00:00:00,Informática,1583.24,1.0,0.0,False,False,,  Campinas  ,
140,34.0,2022-03-11 00:00:00,Escritório,146.54,1.0,0.15,False,True,boleto,aCmpinas,ok
2826,837.0,2023-08-28 00:00:00,Eletrônicos,739.9,1.0,0.0,False,True,boleto,NITEROI,
627,455.0,2024-07-15 00:00:00,Móveis,1919.52,2.0,0.0,False,True,boleto,rio de janeiro,Entrega atrasada
5174,14.0,2024-03-18 00:00:00,Escritório,420.73,2.0,0.0,False,True,pix,SAO PAULO,ok
1774,1047.0,2022-03-19 00:00:00,Escritório,204.93,1.0,0.1,False,True,,Vila Velha,telefone inválido
4216,36.0,2024-06-03 00:00:00,Escritório,298.22,2.0,0.0,False,True,Cartão ,SAO PAULO CENTRO,Entrega atrasada
3272,512.0,2024-06-30 00:00:00,Eletrônicos,754.24,1.0,0.0,False,True,dinheiro, vila velha  ,Entrega atrasada
5242,145.0,2023-07-19 00:00:00,Escritório,483.76,2.0,0.0,False,True,,Manaus ,
3093,166.0,2023-03-25 00:00:00,Brinquedos,9999999.99,2.0,0.0,False,True,cartao,GOIANIA,cliente reclamou
3990,,2022-11-17 00:00:00,Escritório,957.64,4.0,0.0,False,True,dinheiro,Fortaleza,
3464,1051.0,2025-01-08 00:00:00,Acessórios,37.14,1.0,0.0,False,True,cartao,Fortaleza,telefone inválido
6978,190.0,2022-08-09 00:00:00,Informática,553.89,1.0,0.0,False,True,Cartão ,Rio,
4121,658.0,2025-01-08 00:00:00,Escritório,139.57,1.0,0.0,False,True,boleto,Goiania,
791,1203.0,2024-09-24 00:00:00,Móveis,679.71,1.0,0.0,False,True,pix,Goiania,
5319,355.0,2024-08-14 00:00:00,Acessórios,24.98,1.0,0.0,False,True,pix,  BH ,cliente reclamou
6676,943.0,2025-01-26 00:00:00,Escritório,149.62,1.0,0.0,False,True,dinheiro,CURITIBA,
6117,1009.0,2023-12-07 00:00:00,Brinquedos,191.23,2.0,0.0,False,True,,RJ,cliente reclamou
6368,1037.0,2024-11-22 00:00:00,Escritório,340.76,1.0,0.0,True,True,cartao,curitiba,Entrega atrasada
3699,636.0,2022-06-08 00:00:00,Brinquedos,98.95,2.0,0.0,False,True,cartao, BH,Entrega atrasada
1712,326.0,2022-10-13 00:00:00,Eletrônicos,593.12,1.0,0.0,False,True,Cartão ,Goiania,ok
3704,922.0,2023-03-22 00:00:00,Acessórios,34.53,1.0,0.0,False,True,boleto,Sao Paulo Centro,
421,383.0,2025-01-23 00:00:00,Eletrônicos,630.06,1.0,0.0,False,True,dinheiro,GOIANIA ,
4135,593.0,2022-02-18 00:00:00,Acessórios,112.32,2.0,0.0,False,True,cartao,  BH ,
4861,320.0,2023-02-15 00:00:00,Eletrônicos,575.7,,0.0,False,True,cartao,BELO HORIZONTE,telefone inválido
5663,115.0,2024-02-07 00:00:00,Eletrônicos,583.95,1.0,0.0,False,True,pix,,
3961,1117.0,2023-01-24 00:00:00,,439.01,3.0,0.0,False,True,, sp  ,Entrega atrasada
1140,584.0,2025-04-23 00:00:00,Acessórios,65.4,1.0,0.0,False,True,Cartão , Brasília ,telefone inválido
1335,1469.0,2025-07-27 00:00:00,Informática,2293.07,3.0,0.0,False,True,boleto,SAO PAULO,Entrega atrasada
3927,1083.0,2024-06-18 00:00:00,Móveis,738.26,1.0,0.3,True,True,Cartão ,ok,REICFE
6042,177.0,2023-10-21 00:00:00,Eletrônicos,581.67,1.0,0.0,False,True,, CTBA  ,cliente reclamou
440,267.0,2024-07-14 00:00:00,Escritório,352.85,2.0,0.0,False,True,Cartão ,sp,ok
3941,306.0,2024-03-24 00:00:00,Acessórios,149.43,3.0,0.0,False,True,pix,GOIANIA,ok
6806,417.0,2022-04-04 00:00:00,informática,654.44,1.0,0.0,False,True,,,
1114,1253.0,2023-10-18 00:00:00,Acessórios,94.8,2.0,0.0,False,True,boleto,ctba,
1225,1174.0,2024-03-17 00:00:00,Brinquedos,99.6,2.0,0.0,False,True,dinheiro,sp,
3288,50.0,2023-06-15 00:00:00,Informática,648.49,1.0,0.0,False,True,,  SAO JOSE DOS CAMPOS  ,Entrega atrasada
4603,361.0,2022-09-27 00:00:00,Acessórios,159.0,3.0,0.0,False,True,cartao,Manaus,ok
4877,807.0,2023-07-11 00:00:00,Escritório,196.61,1.0,0.0,False,True,Cartão ,Sao Jose dos Campos,telefone inválido
694,187.0,2025-01-24 00:00:00,Brinquedos,259.36,3.0,0.0,False,True,cartao,bh,
2593,59.0,2023-04-10 00:00:00,Escritório,216.35,2.0,0.15,False,True,,POA,cliente reclamou
3650,1007.0,2024-06-15 00:00:00,Brinquedos,259.98,4.0,0.0,False,True,,Niteroi,cliente reclamou
5965,1123.0,2024-06-19 00:00:00,Brinquedos,249.25,4.0,0.0,False,True,boleto,NITEROI,cliente reclamou
3223,606.0,2022-10-28 00:00:00,Eletrônicos,689.92,1.0,0.0,False,True,dinheiro,Sao Jose dos Campos  ,
5181,230.0,2024-06-20 00:00:00,Eletrônicos,419.52,1.0,0.0,False,True,pix,PORT OALEGRE,
5150,789.0,2025-06-27 00:00:00,,132.18,1.0,0.0,False,True,boleto,poa,ok
5720,1038.0,2024-07-15 00:00:00,,883.21,1.0,0.0,False,True,Cartão ,Manaus,telefone inválido
1552,517.0,2022-02-11 00:00:00,Informática,1175.45,1.0,0.0,False,True,cartao,CAMPINAS,
6217,137.0,2024-01-18 00:00:00,Escritório,421.49,2.0,0.0,False,True,Cartão ,Frotaleza,cliente reclamou
663,1161.0,2023-09-15 00:00:00,Acessórios,24.93,1.0,0.0,False,True,,bh,ok
702,,2024-04-07 00:00:00,Acessórios,166.69,3.0,0.0,False,True,boleto,belo horizonte,ok
5465,928.0,2023-04-05 00:00:00,Eletrônicos,717.68,1.0,0.0,False,True,,Zona Sul,Entrega atrasada
2487,683.0,2024-03-25 00:00:00,Escritório,163.44,1.0,0.05,True,True,pix,sao paulo,
195,174.0,2024-11-10 00:00:00,Informática,1407.56,1.0,0.05,False,True,,POA,telefone inválido
2073,920.0,2023-02-17 00:00:00,Eletrônicos,1263.01,2.0,0.0,False,True,boleto,Salvador,ok
1558,440.0,2023-02-05 00:00:00,Acessórios,80.77,2.0,0.0,False,True,cartao,São Paulo,ok
1294,47.0,2025-05-04 00:00:00,Eletrônicos,690.77,1.0,0.0,False,True,Cartão , SAO JOSE DOS CAMPOS ,Entrega atrasada
3017,309.0,2023-06-22 00:00:00,Móveis,1364.37,1.0,0.0,False,True,pix,Salvador,ok
5796,30.0,2024-12-03 00:00:00,Informática,940.69,1.0,0.0,False,True,,RJ,telefone inválido
6546,394.0,2024-07-27 00:00:00,Alimentos,33.73,2.0,0.15,False,True,boleto,RJ,Entrega atrasada
5653,1181.0,2022-11-04 00:00:00,,780.58,2.0,0.0,False,True,dinheiro,SAO PAULO,ok
3177,400.0,2023-06-26 00:00:00,Informática,842.17,1.0,0.0,False,True,boleto,POA,ok
6252,482.0,2023-02-30,Informática,932.6,1.0,0.0,True,True,cartao, Niterói,Entrega atrasada
628,258.0,2025-06-04 00:00:00,Acessórios,36.45,1.0,0.0,False,True,cartao,BH,Entrega atrasada
1395,1227.0,2025-05-26 00:00:00,Informática,3892.31,3.0,0.0,False,True,Cartão ,Brasília,
1862,903.0,2023-12-24 00:00:00,Escritório,387.78,2.0,0.0,False,True,pix,CTBA,
2692,649.0,2023-03-19 00:00:00,Escritório,366.93,3.0,0.0,False,True,pix,rj,ok
4316,1168.0,2024-01-07 00:00:00,Escritório,184.09,1.0,0.0,False,True,dinheiro,Salvador,telefone inválido
1169,1011.0,2022-04-07 00:00:00,Acessórios,54.14,1.0,0.0,False,True,cartao,  Niteroi ,Entrega atrasada
3688,582.0,2024-12-06 00:00:00,Escritório,173.62,1.0,0.0,False,True,cartao,oPrto Alegre,cliente reclamou
346,610.0,2023-03-02 00:00:00,Acessórios,48.0,1.0,0.0,False,True,pix,  SJC  ,
6150,1107.0,2025-06-08 00:00:00,Eletrônicos,920.85,1.0,0.0,False,True,pix,zona sul,telefone inválido
3389,1000.0,2022-01-03 00:00:00,Escritório,154.35,1.0,0.15,False,True,Cartão , sp ,ok
6863,178.0,2025-06-13 00:00:00,Eletrônicos,778.54,1.0,0.0,False,True,boleto,Sao Paulo Centro,Entrega atrasada
5474,224.0,2023-03-14 00:00:00,Eletrônicos,1700.89,2.0,0.0,False,True,pix,curitiba,ok
6868,683.0,2023-09-17 00:00:00,Brinquedos,123.28,2.0,0.0,False,True,cartao,SP,Entrega atrasada
1428,790.0,2023-08-24 00:00:00,Informática,1089.72,1.0,0.0,False,True,pix,zon asul,
4355,1179.0,2022-12-28 00:00:00,Acessórios,60.65,1.0,0.0,False,True,dinheiro,BH,telefone inválido
6682,928.0,2023-02-18 00:00:00,Móveis,736.67,1.0,0.3,False,True,cartao,Vila Velha,ok
5943,54.0,2024-06-26 00:00:00,Escritório,0.0,1.0,0.0,False,True,,sp,
1729,729.0,2024-06-03 00:00:00,Escritório,149.99,1.0,0.0,False,True,cartao,poa,
1835,1111.0,2025-03-04 00:00:00,Eletrônicos,542.42,1.0,0.0,False,True,Cartão ,SP,
1588,449.0,2023-02-12 00:00:00,Eletrônicos,667.17,1.0,0.0,False,True,boleto,vila velha,telefone inválido
6619,706.0,2025-05-04 00:00:00,Brinquedos,264.61,5.0,0.0,False,True,Cartão ,BH,
405,1202.0,2024-07-31 00:00:00,Informática,813.22,1.0,0.0,False,True,cartao,brasília,cliente reclamou
4874,124.0,2023-03-20 00:00:00,Acessórios,310.1,4.0,0.0,False,True,cartao,,telefone inválido
874,898.0,2022-05-23 00:00:00,Informática,2036.25,2.0,0.0,False,True,Cartão ,Recife,
2228,876.0,2023-09-20 00:00:00,Eletrônicos,707.35,1.0,0.0,False,True,dinheiro,Vila Velah,telefone inválido
849,558.0,2025-01-11 00:00:00,Informática,925.15,1.0,0.0,False,True,boleto,ZONA SUL,Entrega atrasada
4332,1296.0,2023-11-15 00:00:00,Eletrônicos,531.71,1.0,0.0,False,True,Cartão ,sao paulo centro,Entrega atrasada
1696,1097.0,2024-06-28 00:00:00,Eletrônicos,564.57,1.0,0.0,False,True,dinheiro,   ,ok
2540,763.0,2023-08-29 00:00:00,Acessórios,64.72,1.0,0.0,False,True,,manaus,cliente reclamou
3872,34.0,2025-08-11 00:00:00,Eletrônicos,609.07,1.0,0.0,False,True,pix,Curitiba,
6418,1072.0,2023-05-12 00:00:00,Alimentos,50.75,2.0,0.0,False,True,,RIO,ok
6188,326.0,2025-06-20 00:00:00,Eletrônicos,674.73,1.0,0.1,False,True,pix,Belo Horizonte,
1941,348.0,2025-03-03 00:00:00,Eletrônicos,783.66,1.0,0.0,False,True,boleto,Niteroi,ok
1082,293.0,2024-03-07 00:00:00,Brinquedos,105.95,2.0,0.0,False,True,cartao,SAO PAULO,
2549,274.0,2024-11-28 00:00:00,Móveis,1034.32,1.0,0.0,False,True,dinheiro, bh  ,
3867,322.0,2023-05-30 00:00:00,Acessórios,69.84,1.0,0.0,False,True,,ZONA SUL,ok
5411,178.0,2024-05-07 00:00:00,Eletrônicos,1841.72,3.0,0.0,False,True,pix,SAO PAULO CENTRO,cliente reclamou
2518,1238.0,2023-02-30,escritório,95.36,1.0,0.0,False,True,,nIterior,Entrega atrasada
2866,290.0,2024-11-24 00:00:00,Eletrônicos,1117.0,1.0,0.0,False,True,cartao,SãoPaulo ,
750,1163.0,2024-07-07 00:00:00,Escritório,321.25,2.0,0.1,False,True,boleto,RIO,ok
1055,620.0,2024-10-28 00:00:00,Escritório,172.26,1.0,0.0,False,True,,  ,
3840,943.0,2024-01-03 00:00:00,Acessórios,48.84,1.0,0.0,False,True,cartao,Campinas,
2796,1344.0,2025-03-18 00:00:00,Eletrônicos,757.26,2.0,0.3,False,False,,BELO HORIZONTE,
1068,383.0,2025-02-27 00:00:00,Eletrônicos,477.98,1.0,0.0,False,True,cartao,sãopaulo,
2973,435.0,2025-08-19 00:00:00,Informática,2143.61,2.0,0.0,False,True,dinheiro,  rio  ,ok
3738,1254.0,2025-02-01 00:00:00,Escritório,294.28,1.0,0.0,False,True,boleto,Sao Jose dos Campos,
4367,566.0,2024-12-21 00:00:00,Móveis,961.85,1.0,0.0,False,True,,,ok
928,1027.0,2022-09-04 00:00:00,Informática,1376.91,1.0,0.0,False,True,boleto,são paulo,ok
1182,1183.0,2022-01-03 00:00:00,Acessórios,37.47,1.0,0.1,False,True,cartao,campinas,ok
147,359.0,2024-01-05 00:00:00,Eletrônicos,581.87,1.0,0.0,False,True,cartao,BELO HORIZONTE,cliente reclamou
993,934.0,2023-10-01 00:00:00,Informática,1182.66,1.0,0.0,False,False,dinheiro, Zona Sul,
6187,361.0,2023-10-30 00:00:00,Acessórios,155.22,3.0,0.0,False,True,pix, Rio  ,ok
1629,10.0,2025-07-04 00:00:00,Escritório,0.0,1.0,0.0,False,True,pix,Niterói,
1942,178.0,2025-08-09 00:00:00,Eletrônicos,881.78,1.0,0.0,False,True,cartao,São Paulo,cliente reclamou
4365,138.0,2024-10-11 00:00:00,INFORMÁTICA,1210.6,1.0,0.0,False,True,dinheiro,Niteroi ,Entrega atrasada
6504,313.0,2022-02-19 00:00:00,Escritório,166.68,1.0,0.0,False,True,Cartão ,sp,ok
2168,563.0,2025-05-23 00:00:00,Eletrônicos,0.0,1.0,0.0,False,True,Cartão ,SP,Entrega atrasada
2935,883.0,2022-07-27 00:00:00,Brinquedos,208.71,4.0,0.0,False,True,Cartão , sp  ,ok
6393,136.0,2024-07-25 00:00:00,Eletrônicos,1104.9,2.0,0.0,False,True,Cartão ,vila velha,Entrega atrasada
1406,20.0,2024-04-04 00:00:00,Acessórios,64.06,1.0,0.0,False,True,boleto,SÃOPAULO,cliente reclamou
1593,698.0,2023-10-02 00:00:00,Eletrônicos,518.07,1.0,0.0,False,True,cartao,sao paulo ,
2998,,2024-06-18 00:00:00,Eletrônicos,1931.43,3.0,0.0,False,True,Cartão ,vila velha,cliente reclamou
6317,1102.0,2022-07-24 00:00:00,Eletrônicos,543.41,1.0,0.0,False,True,Cartão , MANAUS  ,cliente reclamou
772,1172.0,2025-03-22 00:00:00,Acessórios,29.0,1.0,0.0,False,True,dinheiro,são paulo,telefone inválido
3378,1167.0,2025-04-18 00:00:00,Eletrônicos,1022.55,2.0,0.0,False,True,pix,BH,ok
3678,294.0,2024-01-22 00:00:00,Informática,954.04,1.0,0.0,False,True,cartao,NITEORI,telefone inválido
4671,715.0,2023-12-07 00:00:00,Eletrônicos,580.62,1.0,0.3,False,True,cartao,  Interior ,ok
847,96.0,2025-06-04 00:00:00,Informática,770.86,1.0,0.0,False,True,cartao,RIO,Entrega atrasada
3511,180.0,2022-03-23 00:00:00,Informática,1379.34,2.0,0.0,False,True,Cartão ,SJC,
466,1332.0,2022-03-30 00:00:00,Escritório,0.0,4.0,0.15,False,True,cartao, Manau s ,
5273,1180.0,2024-10-04 00:00:00,Escritório,316.94,2.0,0.0,False,True,boleto,zona sul,
534,977.0,2022-09-22 00:00:00,Escritório,0.0,1.0,0.0,False,True,dinheiro,RECIFE,telefone inválido
1745,922.0,2023-12-05 00:00:00,Eletrônicos,785.64,1.0,0.0,False,True,cartao,SP,Entrega atrasada
3212,254.0,2022-04-30 00:00:00,Informática,787.53,1.0,0.1,False,True,,bh,telefone inválido
5299,1150.0,2024-11-08 00:00:00,Eletrônicos,0.0,1.0,0.0,False,True,dinheiro,Porto Alegre,
3219,482.0,2024-05-02 00:00:00,Alimentos,52.14,3.0,0.0,False,True,pix,RJ,ok
3898,756.0,2025-09-19 00:00:00,Eletrônicos,784.76,1.0,0.0,False,True,Cartão ,Goiania,
4989,572.0,2023-06-23 00:00:00,Escritório,659.51,,0.0,False,True,boleto,,
6612,67.0,2024-05-17 00:00:00,Eletrônicos,683.36,1.0,0.0,False,True,,  sp,cliente reclamou
4115,158.0,2022-08-04 00:00:00,Eletrônicos,0.0,1.0,0.0,False,True,boleto,REICFE,
4202,,2023-11-22 00:00:00,Eletrônicos,835.66,1.0,0.0,False,True,,Belo Horizonte,cliente reclamou
56,922.0,2024-03-29 00:00:00,,2623.69,2.0,0.0,False,True,boleto,BRASÍLIA,Entrega atrasada
348,1275.0,2023-10-27 00:00:00,Eletrônicos,2930.41,3.0,0.0,False,True,,vila velha,
4122,24.0,2023-05-31 00:00:00,Acessórios,30.38,1.0,0.0,False,True,boleto,manaus,
4106,132.0,2024-02-14 00:00:00,Informática,1076.96,1.0,0.0,False,True,cartao,SÃOPAULO,ok
3305,1260.0,2022-10-04 00:00:00,Móveis,5363.52,3.0,0.0,False,True,boleto,Sao Paulo  ,
1882,121.0,2022-06-11 00:00:00,Brinquedos,250.14,3.0,0.0,False,True,boleto,Sao Paulo,Entrega atrasada
6206,1047.0,2025-06-17 00:00:00,Acessórios,153.89,3.0,0.0,False,True,,Rio de Janeiro,
5271,865.0,2023-12-10 00:00:00,Acessórios,112.56,2.0,0.0,False,True,Cartão ,RIO ,
2689,842.0,2025-07-13 00:00:00,Móveis,1349.59,1.0,0.0,False,True,,BH,telefone inválido
1022,842.0,2023-06-10 00:00:00,Brinquedos,0.0,5.0,0.0,False,True,cartao,belo horizonte  ,Entrega atrasada
3634,774.0,2024-08-07 00:00:00,Acessórios,77.61,2.0,0.0,False,True,cartao,sao paulo centro,Entrega atrasada
1799,163.0,2024-03-23 00:00:00,Informática,1126.65,1.0,0.0,False,True,pix,belo horizonte,ok
5960,560.0,2023-12-04 00:00:00,Escritório,416.28,2.0,0.0,False,True,cartao,RJ,
6045,854.0,2023-05-20 00:00:00,Informática,775.14,1.0,0.1,False,True,cartao,Rio,cliente reclamou
2905,471.0,2022-06-05 00:00:00,Eletrônicos,638.18,1.0,0.0,False,True,,fortaleza,
6018,229.0,2022-08-21 00:00:00,Eletrônicos,844.97,1.0,0.0,False,True,pix,ZONA SUL,telefone inválido
661,235.0,2022-11-15 00:00:00,Informática,2354.89,2.0,0.0,False,True,boleto,BH,cliente reclamou
6295,1242.0,2025-04-09 00:00:00,Brinquedos,124.42,2.0,0.0,False,True,dinheiro,RECIFE,cliente reclamou
